ds,f1,precision,recall,roc_auc,threshold_used,suggested_threshold,n,tp,tn,fp,fn,spam_rate
2025-10-11,0.444444,0.434783,0.454545,0.807754,0.5598166041667669,0.9808156570595288,107,10,72,13,12,0.205607
2025-10-13,0.392157,0.47619,0.333333,0.835043,0.98569655,0.98569655,147,10,106,11,20,0.204082
2025-10-14,0.368421,0.5,0.291667,0.873449,0.9765772,0.9765772,118,7,87,7,17,0.20339
2025-10-15,0.27907,0.4,0.214286,0.854911,0.6959078454938329,0.9950852,140,6,103,9,22,0.2
2025-10-16,0.27907,0.315789,0.25,0.777778,0.99387205,0.99387205,117,6,80,13,18,0.205128
2025-10-18,0.571429,1.0,0.4,0.976294,0.7658713812746909,0.7658713812746909,173,14,138,0,21,0.202312
2025-10-19,0.439024,0.5,0.391304,0.854421,0.7658713812746909,0.9867602495795764,112,9,80,9,14,0.205357
2025-10-20,0.315789,1.0,0.1875,0.875504,0.907972613138522,0.907972613138522,78,3,62,0,13,0.205128
2025-10-21,0.357143,0.833333,0.227273,0.908009,0.907972613138522,0.9416751117393316,106,5,83,1,17,0.207547
2025-10-22,0.2,1.0,0.111111,0.885714,0.9416751117393316,0.9425575569021424,132,3,105,0,24,0.204545
2025-10-23,0.4,1.0,0.25,0.878797,0.9425575569021424,0.9416751117393316,99,5,79,0,15,0.20202
2025-10-24,0.133333,0.666667,0.074074,0.806526,0.9416751117393316,0.9170090820407985,132,2,104,1,25,0.204545
